f_1_name,f_2_name,event_date,Y,delta_reach_cm,delta_height_cm,delta_age,delta_SlpM,delta_Str_Acc,delta_SApM,delta_Str_Def,delta_TD_Avg,delta_TD_Acc,delta_TD_Def,delta_Sub_Avg
Cameron Smotherman,Kai Asakura,2026-05-30,0,0.0,2.539999999999992,-3.879534565366189,1.4400000000000004,0.02999999999999997,0.22999999999999998,0.05999999999999994,0.0,0.0,0.12,0.0
Carlston Harris,Jake Matthews,2026-05-30,0,7.6200000000000045,2.539999999999992,7.112936344969199,-0.020000000000000018,-0.020000000000000018,0.9199999999999999,-0.08999999999999997,-0.2300000000000002,-0.20999999999999996,-0.10999999999999999,-0.19999999999999996
YiSak Lee,Luis Felipe Dias,2026-05-30,0,-5.0800000000000125,5.079999999999984,-4.955509924709105,-0.1299999999999999,-0.04999999999999999,3.0200000000000005,-0.08000000000000007,-4.52,-0.57,-0.66,-1.1
Ding Meng,Jose Souza,2026-05-30,0,-15.240000000000009,-2.539999999999992,7.652292950034223,-0.4400000000000004,0.0,-0.5300000000000002,0.020000000000000018,0.5,0.5,0.0,0.0
Cody Haddon,Aoriqileng,2026-05-30,1,0.0,0.0,-5.2046543463381205,4.4399999999999995,0.07000000000000006,-2.94,0.15999999999999998,1.8499999999999999,-0.11000000000000004,0.24,0.39999999999999997
Rei Tsuruya,Luis Gurule,2026-05-30,1,10.159999999999997,2.539999999999992,-8.5968514715948,-3.0400000000000005,0.10000000000000003,-3.4399999999999995,-0.13999999999999996,4.390000000000001,0.22,-0.09999999999999998,1.8
Angela Hill,Xiong Jingnan,2026-05-30,1,2.539999999999992,-2.539999999999992,2.9979466119096543,0.9299999999999997,0.15999999999999998,-3.130000000000001,0.21999999999999997,0.76,0.3,-0.030000000000000027,0.2
Zhu Kangjie,Rodrigo Vera,2026-05-30,0,5.0800000000000125,-5.0800000000000125,-0.24640657084189144,-6.34,-0.09999999999999998,-2.1799999999999997,0.16000000000000003,-7.859999999999999,0.0,0.5,0.0
Loma Lookboonmee,Jaqueline Amorim,2026-05-30,0,-17.78,-5.0800000000000125,-0.5694729637234772,1.3200000000000003,0.06000000000000005,0.3900000000000001,-0.010000000000000009,-0.24999999999999978,0.16999999999999998,0.7,-4.2
Arnold Allen,Melquizael Costa,2026-05-16,1,-2.539999999999992,-5.0800000000000125,2.6447638603696113,-0.77,-0.03999999999999998,-0.040000000000000036,0.09999999999999998,-0.29000000000000004,0.25,0.22999999999999998,-0.5
Dooho Choi,Daniel Santos,2026-05-16,1,7.6200000000000045,7.6200000000000045,3.920602327173171,-0.15000000000000036,0.15000000000000002,-0.9500000000000002,0.06999999999999995,-1.34,0.2,-0.14,0.5
Juan Diaz,Malcolm Wellmaker,2026-05-16,1,-5.0800000000000125,-5.0800000000000125,-3.997262149212869,-0.8599999999999999,-0.14000000000000007,-0.8300000000000005,0.06999999999999995,5.5,0.5,-0.46,0.8
Modestas Bukauskas,Christian Edwards,2026-05-16,1,-5.0800000000000125,-5.0800000000000125,4.733744010951405,0.7400000000000002,-0.07,1.46,-0.050000000000000044,0.23,0.66,0.82,0.1
Timmy Cuamba,Benardo Sopaj,2026-05-16,0,12.700000000000017,7.6200000000000045,1.629021218343599,-1.5099999999999998,-0.15999999999999998,-0.9700000000000002,0.030000000000000027,-1.2500000000000002,-0.29,-0.050000000000000044,-0.8
Nikolay Veretennikov,Khaos Williams,2026-05-16,0,-7.6200000000000045,2.539999999999992,4.268309377138941,-2.2299999999999995,0.17000000000000004,-1.9099999999999997,0.06,0.4,0.16,0.10999999999999999,0.4
